-rwxr-xr-x 1 root root 7.3M Sep 18 03:00 /usr/lib/snapd/snapctl
-rw-r----- 1 syslog adm 7.0M Jan 18 00:00 /var/log/kern.log.1
-rwxr-xr-x 1 root root 7.0M Jun 19  2025 /usr/bin/ubuntu-report
-rw-r--r-- 1 root root 6.9M Apr 18  2024 /usr/lib/x86_64-linux-gnu/libSvtAv1Enc.so.1.7.0
-rwxr-xr-x 1 root root 6.9M Nov 19 09:50 /usr/bin/mysqlpump
-rwxr-xr-x 1 root root 6.8M Nov 19 09:50 /usr/bin/mysqlbinlog
-rw-rw-r-- 1 sibus sibus 6.7M Dec  5 10:39 /home/sibus/.phpls/3%3Astripe%2Fstripe-php%3A17.6.0
-rw-r--r-- 1 root root 6.6M Dec 16 12:25 /usr/lib/azure-functions-core-tools-4/libcoreclr.so
-rwxr-xr-x 1 root root 6.6M Nov 19 09:50 /usr/bin/myisamchk
-rwxr-xr-x 1 root root 6.6M Nov 19 09:50 /usr/bin/mysql
-rwxr-xr-x 1 root root 6.6M Nov 19 09:50 /usr/bin/mysqldump
-rwxr-xr-x 1 root root 6.6M Nov 19 09:50 /usr/bin/mysql_upgrade
-r--r--r-- 1 root root 6.5M Jan 22 01:54 /sys/kernel/btf/vmlinux
-rw-r--r-- 1 root root 6.5M Mar 21  2024 /usr/share/backgrounds/Rainbow_lightbulb_by_Daniel_Micallef.png
-rw-r--r-- 1 root root 6.5M Mar 30  2024 /usr/lib/x86_64-linux-gnu/librsvg-2.so.2.50.0
-rwxr-xr-x 1 root root 6.5M Nov 19 09:50 /usr/bin/mysqladmin
-rwxr-xr-x 1 root root 6.5M Nov 19 09:50 /usr/bin/mysqlcheck
-rwxr-xr-x 1 root root 6.5M Nov 19 09:50 /usr/bin/mysqlimport
-rwxr-xr-x 1 root root 6.5M Nov 19 09:50 /usr/bin/mysql_migrate_keyring
-rwxr-xr-x 1 root root 6.5M Nov 19 09:50 /usr/bin/mysql_secure_installation
-rwxr-xr-x 1 root root 6.5M Nov 19 09:50 /usr/bin/mysqlshow
-rwxr-xr-x 1 root root 6.5M Nov 19 09:50 /usr/bin/mysqlslap
-rw-r--r-- 1 root root 6.4M Dec 11 00:02 /opt/brave.com/brave/libGLESv2.so
-rw-r--r-- 1 root root 6.4M Nov 19 15:40 /opt/google/chrome/libGLESv2.so
